2020-5-22:一共211套
华东理工,508,单价51922元/平米,2室2厅 | 97.84平米 | 南 | 简装 | 高楼层(共23层) | 1997年建 | 塔楼,所在页数3
龙华,510,单价60000元/平米,3室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,所在页数2
康健,510,单价59818元/平米,3室1厅 | 85.26平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,所在页数1
植物园,510,单价48889元/平米,3室1厅 | 104.32平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,所在页数7
田林,510,单价62847元/平米,2室1厅 | 81.15平米 | 南 | 简装 | 低楼层(共20层) | 1995年建 | 塔楼,所在页数1
植物园,510,单价59179元/平米,2室2厅 | 86.18平米 | 南 | 简装 | 高楼层(共7层) | 2001年建 | 板楼,所在页数7
漕河泾,510,单价61684元/平米,2室2厅 | 82.68平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,所在页数4
华泾,515,单价60803元/平米,2室2厅 | 84.7平米 | 南 北 | 简装 | 高楼层(共12层) | 2005年建 | 板楼,所在页数1
龙华,515,单价58133元/平米,3室1厅 | 88.59平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,所在页数5
田林,515,单价59676元/平米,2室1厅 | 86.3平米 | 南 | 精装 | 中楼层(共29层) | 1997年建 | 塔楼,所在页数3
万体馆,515,单价63976元/平米,2室1厅 | 80.5平米 | 南 | 简装 | 中楼层(共18层) | 1995年建 | 塔楼,所在页数2
华泾,515,单价56894元/平米,2室2厅 | 90.52平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,所在页数2
华东理工,515,单价52778元/平米,2室1厅 | 97.58平米 | 东南 | 精装 | 高楼层(共18层) | 1996年建 | 塔楼,所在页数6
上海南站,516,单价57998元/平米,3室2厅 | 88.97平米 | 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,所在页数6
上海南站,518,单价57639元/平米,2室2厅 | 89.87平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,所在页数3
田林,519,单价59779元/平米,2室1厅 | 86.82平米 | 南 | 简装 | 高楼层(共29层) | 1997年建 | 塔楼,所在页数4
华东理工,520,单价48287元/平米,2室2厅 | 107.69平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,所在页数6
华东理工,520,单价53148元/平米,2室2厅 | 97.84平米 | 南 | 简装 | 高楼层(共23层) | 1997年建 | 塔楼,所在页数4
上海南站,520,单价50383元/平米,3室2厅 | 103.21平米 | 南 北 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,所在页数3
